sports = "Tickets worth Rupees 52,36,000 were unsold. Why all the tickets were not sold-out? DDCA started online ticket sale quite late that too without proper advertisement," Khanna claimed in a media release.
sports = Axar Patel has become the highest placed India bowler in the latest ICC ODI rankings after breaking into the top-10 bowler's list while legspinner Amit Mishra has vaulted 25 places to enter the top-20.
sports = TOI Sports runs the rule over the performers for India during their 3-2 ODI series win over New Zealand. A report card on the players who featured in India's first ODI series win at home in two years, over NZ across five matches.
sports = Mishra didn't mince words when asked about the frustration of having to sit out, but added that coach Anil Kumble's tips had helped him tide over the low phase.
sports = India completed a 3-2 series win over New Zealand by beating them in the decider at Vizag by 190 runs. Here we look at the several passages of play that stood out during the match.
sports = Amit Mishra finished with 5/18, his second ODI five-wicket haul as India beat New Zealand by a whopping 190 runs at Visakhapatnam to clinch the five match ODI series 3-2. Mishra was named both Man of the Match and the Player of the series.
sports = Dhoni lavished praise on his bowlers for the resounding series-clinching win over New Zealand in the fifth and final ODI, describing the effort as "one of the best performances by the bowlers".
sports = "His (Anil Kumble) mental support is the biggest thing for me. I sat out for the entire Test series but he supported me mentally and told me "don't worry, your time will come"," leg-spinner Amit Mishra said.
sports = Bruised and battered by India after being bundled out for a meagre 79 while chasing 270 in the series-deciding fifth and final ODI, New Zealand skipper Kane Williamson today termed the performance of his batting department as "frustrating".
sports = The New Zealanders, after being thrashed in the three-match Test series, were expected to put up a much improved show in the One-dayers – a format which they have done well in over the years.
sports = Dhoni faced the conventional white ball and practised his trademark shots in a lengthy session at the nets. The series poised at 2-2, Rohit Sharma, Ajinkya Rahane and Virat Kohli stayed away from the nets.
sports = "I think the guys are pretty excited to do what no other NZ side has ever done before - come over here and win a one-day series. The excitement in the group is very high," Tim Southee said on the eve of the series decider.
sports = ​​Jadhav, who's playing in place of an indisposed Suresh Raina, bowled for the first time in international cricket when MS Dhoni gave him the ball ahead of the regular spin duo of Axar Patel and Amit Mishra on a seaming Dharamsala track in the first one-dayer.
sports = After scores of 0, 12, 7* and 3, MS Dhoni was sent up the order to No. 3 against Pakistan and proceed to smash 148 off 123 balls with 15 fours and four sixes, setting the platform for India's 356/9 at Visakhapatnam in April 2005.
sports = With conditions overcast, the last thing India would want is a wash-out. Despite weakening, cyclone Kyant, there's forecast of localised downpours as both the teams will keep their fingers crossed.
sports = "Batting down the order is one of the toughest things to do. You don't get a (ready-made) player who's complete, who bats at No.5, 6 or 7, all the time," skipper MS Dhoni said.
sports = Sourav Ganguly insisted that Mahendra Singh Dhoni should stick to batting at No 4 which will enable him and Virat Kohli could play the finishers' role. The former Indian captain however said India were not becoming too much over dependent on Kohli.
sports = Eyeing a historic bilateral ODI series win in India, New Zealand batsman Ross Taylor said they are hungry to win the five-match series decider on Saturday and make up for the 0-3 whitewash in Tests. "You don't often win series away from home especially in the sub-continent," Taylor said.
sports = India's limited overs skipper Mahendra Singh Dhoni has said that the job of a finisher is one of the toughest and it is difficult to find a 'complete' player who is adept at batting in lower order and take the team through when the chips are down.
sports = A look at the major talking points from the fourth ODI between India and New Zealand played at Ranchi's JSCA International Stadium on Wednesday where the hosts went down by 19 runs allowing the Kiwis to level the series 2-2
education = NEW DELHI: Railway Recruitment Board (RRB) has released notifications for hiring 91,307 vacancies across several posts. These vacancies are for the posts of Assistant Loco Pilot (All India Level), Technicians (All India Level) and Apprentice (Eastern Central Railways).
education = NEW DELHI: RRB (Railway Recruitment Board) conducts exams to fill thousands of vacancies for Indian Railways. Recently a notification (for RRB Group D recruitment) was released by the board wherein 91,307 vacancies across several posts were made available. Here’s all about RRB Recruitment exam pattern, important dates and more.
education = Candidates who have already applied for the examination can download the admit card from the official portal tspsc.gov.in. The admit cards are available only to the students have already applied online.
education = The Bihar Board Matric (Class 10) examination is all set to start from Wednesday, February 21, 2018.
education = The Union Public Service Commission (UPSC) has announced the UPSC ESE Prelims Exam Result 2018 today on the official website of the Board - upsc.gov.in.
education = The Central Board of Secondary Education (CBSE) likely to issue notification for holding the National Eligibility Test (NET) for July 2018 soon.
education = Government Medical College (GMC), Srinagar has issued official notification for recruiting Class IV (divisional cadre Kashmir) employees.
education = Chhattisgarh Professional Examination Board (CGPEB) has invited application to fill 215 vacancies.
education = The results for the written examination to recruit Scientific Assistant in India Meteorological Department (IMD) is expected to be announced on February 13 by the Staff Selection Commission (SSC) on its official website - http://ssc.nic.in/
education = The Himachal Pradesh Technical University has announced the M.Tech ME, CE, CSE, ECE Result on the official website of the varisty - himtu.ac.in.
